
ZTF22aaugcgl
    	        name  	RA	DECL	               OTMstart  	OTMairmass_start  	OTMexptime  	 dt
600	 ZTF22aapjrvz 	23.73	5.83	 2022-07-21T09:00:00.000 	1.42	410.47	6.0
601	 ZTF22aapjrvz 	23.73	5.83	 2022-07-21T09:30:00.000 	1.31	378.55	6.5
602	 ZTF22aapjrvz 	23.73	5.83	 2022-07-21T10:00:00.000 	1.22	353.86	7.0
603	 ZTF22aapjrvz 	23.73	5.83	 2022-07-21T10:30:00.000 	1.17	339.82	7.5
604	 ZTF22aapjrvz 	23.73	5.83	 2022-07-21T11:00:00.000 	1.14	332.26	8.0

ZTF22aasffwi
    	         name 			                OTMstart 	 OTMairmass_start 	 OTMexptime 	  dt
644	 ZTF22aasffwi 	4.4	37.52	 2022-07-21T10:00:00.000 	3.47	495.81	7.0
645	 ZTF22aasffwi 	4.4	37.52	 2022-07-21T10:30:00.000 	2.67	352.27	7.5
646	 ZTF22aasffwi 	4.4	37.52	 2022-07-21T11:00:00.000 	2.17	280.07	8.0

ZTF22aanrsaa
    	         name 			                OTMstart 	 OTMairmass_start 	 OTMexptime 	  dt
653	 ZTF22aanrsaa 	10.5	43.36	 2022-07-21T04:00:00.000 	2.28	219.68	1.0
654	 ZTF22aanrsaa 	10.5	43.36	 2022-07-21T04:30:00.000 	2.79	275.08	1.5
655	 ZTF22aanrsaa 	10.5	43.36	 2022-07-21T05:00:00.000 	3.58	378.55	2.0

ZTF22aaomnhb
    	         name 			                OTMstart 	 OTMairmass_start 	 OTMexptime 	  dt
674	 ZTF22aaomnhb 	12.26	47.08	 2022-07-21T04:00:00.000 	1.42	463.46	1.0
675	 ZTF22aaomnhb 	12.26	47.08	 2022-07-21T04:30:00.000 	1.56	507.08	1.5
676	 ZTF22aaomnhb 	12.26	47.08	 2022-07-21T05:00:00.000 	1.76	575.13	2.0
677	 ZTF22aaomnhb 	12.26	47.08	 2022-07-21T05:30:00.000 	2.01	664.15	2.5
678	 ZTF22aaomnhb 	12.26	47.08	 2022-07-21T06:00:00.000 	2.37	813.12	3.0
679	 ZTF22aaomnhb 	12.26	47.08	 2022-07-21T06:30:00.000 	2.87	1055.45	3.5

ZTF22aahmgmv
    	         name 			                OTMstart 	 OTMairmass_start 	 OTMexptime 	  dt
737	 ZTF22aahmgmv 	12.92	14.33	 2022-07-21T04:00:00.000 	1.48	191.10	1.0
738	 ZTF22aahmgmv 	12.92	14.33	 2022-07-21T04:30:00.000 	1.69	213.83	1.5
739	 ZTF22aahmgmv 	12.92	14.33	 2022-07-21T05:00:00.000 	1.99	249.16	2.0
740	 ZTF22aahmgmv 	12.92	14.33	 2022-07-21T05:30:00.000 	2.47	311.99	2.5
741	 ZTF22aahmgmv 	12.92	14.33	 2022-07-21T06:00:00.000 	3.31	449.10	3.0
742	 ZTF22aahmgmv 	12.92	14.33	 2022-07-21T06:30:00.000 	5.08	922.24	3.5
